ImageID,Labels,Caption
16800.jpg,17 18,A dog standing on a toilet sniffs a cat who is sitting on the counter.
5202.jpg,18 15,a black and white photo of a dog
747.jpg,17,A calico cat relaxes on a rug with its head resting on a stuffed banana toy.
16850.jpg,1 18 2,an old photo of a man holding a bike next to a dog
20819.jpg,1,A woman is holding a pitcher in her hand and milking a cow.
28941.jpg,1,Two cross country skiers on a snowy flat surface
19088.jpg,1,a young baseball player holding a bat on the field
20725.jpg,1,A person standing on a sidewalk on a cell phone.
17965.jpg,8 1,A young man riding a skateboard without a shirt on.
12424.jpg,1,A young boy biting off a piece of a hanging doughnut.
5082.jpg,1,a plate with a chocolate and powdered sugar dessert.
11053.jpg,1 19,A little girl riding on the back of a horse.
10982.jpg,17 1,A  woman taking  a photo with her fluffy cat
25023.jpg,1,A man sitting at a table with a laptop and an open book.
28962.jpg,1,A baseball player is swinging at a baseball and everyone looks.
19369.jpg,1 3,A group of people including children playing tennis on a court.
1190.jpg,1 3 4 14 15,A little car that is sitting in the street.
821.jpg,1 15,A group of baseball players playing a game of ball.
15880.jpg,1 18,A dog sitting on a skateboard near two people.
6815.jpg,18,A brown dog sitting on a couch next to a remote.
9419.jpg,1 6,A bus parked on the side of the road.
7740.jpg,1 3,Couple with Umbrella walking down city street at night.
8892.jpg,1,A woman playing tennis on the tennis court.
4461.jpg,1,a table full of bread meat and fruit.
18741.jpg,8 1 3 13,A man that is standing under a stop sign.
15235.jpg,16 1,a man getting ready to release his hawk
26066.jpg,11 3,a police car parked on a city street
11777.jpg,1 15,Several children practice their tennis skills on a court.
21894.jpg,1,A boy is swinging at a ball on a stand in a fenced playing field.
14741.jpg,1,A group of men that are standing together.
16093.jpg,1,A woman in a pink skirt holding a game controller.
2744.jpg,8 1,A truck carrying two wooden barrels on a grassy area.
20552.jpg,1,Three young men skating on slopes near some buildings
2383.jpg,7,two trains on a track near a platform
12995.jpg,1,A baseball player getting ready to bat .
1406.jpg,1,a man using a little laptop computer on a table
8212.jpg,1,A woman wearing a robe and a scarf is snarling.
20895.jpg,18 3,A large and small dog siting in the back seat of a car
10342.jpg,1,Three guys posing together while holding and eating bananas.
6945.jpg,1 3 6 8 10,A double decker buses drives down a street in the city.
17616.jpg,1,A man that is standing in the dirt with a bat.
10278.jpg,1,Bananas are propped up against a blurry background.
24532.jpg,16 1 3,A duck swims along a large body of water.
27510.jpg,1,"A professional man skiing down a trail, in spandex."
28366.jpg,1,A man on a surfboard who is skidding across the water.
16600.jpg,17,Two cats are sitting and staring on a couch.
14728.jpg,1,A man wearing a suit and tie and glasses is playing with a Wii.
16480.jpg,1 9,A man in a blue beach chair underneath an umbrella at the beach.
19440.jpg,5,A small engine plane flying through the air over some woods.
23519.jpg,1,Two people standing showing their feet and yellow bananas on the ground.
7380.jpg,1,A plate with a huge piece of cake on it.
6553.jpg,1 10,Man in shorts and shirt skateboarding on a ramp.
19639.jpg,1,A person riding skis while holding ski poles.
29613.jpg,19,a couple of horses are standing in a field
2876.jpg,1,a man is swinging a tennis racket at a game
2982.jpg,1,A lady is smiling for the camera near plates with cupcakes and coffee.
15233.jpg,1,A snowboarder jumps over a hill during a run.
23679.jpg,1,A little girl sitting in a suitcase.
2153.jpg,18,A dog playing with something in the water.
18702.jpg,1,three people sitting at a table with plates of food
7336.jpg,1 3,A group of people sitting and standing on a yard.
26055.jpg,1,A beautiful young girl riding a blue surfboard.
16859.jpg,1,A group of people standing on a beach flying a kite.
18856.jpg,15,A long view of a bench on a walkway in a park.
217.jpg,8 1 4,A group of people on motor bikes on a road.
18909.jpg,8 1 6,A large crowd of onlookers observing a young boy skateboarding down a stair railing.
2213.jpg,1,A group of young men riding skateboards at a skate park.
6581.jpg,1,A man holding a Nintendo Wii game controller.
27176.jpg,1,A group of elephants and riders near a tall canopy.
29660.jpg,1 3 13,A group of people stands next to a group of stop signs.
14765.jpg,1,An elephant performing tricks on a stool in a circus.
20479.jpg,1 15,A young man standing on top of a tennis court.
10128.jpg,13,A do not enter sign that has been defaced.
5706.jpg,1,The professional batter is swinging skillfully at a pitch.
5954.jpg,13,A couple of street signs near a building.
538.jpg,8 3 11,A yellow fire hydrant and a shopping cart.
8148.jpg,1,A young boy and a young girl sitting next to each other.
28451.jpg,1,A group of kids that are leaning over a table.
8427.jpg,1,A man jumping on a snowboard in the air.
6995.jpg,19,A couple of horses standing on top of a lush green field.
25866.jpg,1,People gather near an old clock tower with atria in the city.
4181.jpg,1,People are gathering at a table for a seminar
8930.jpg,1,Rustic table setting with oriental plates and pizza.
15416.jpg,1 6,A bunch of people on a transit bus going somewhere.
21677.jpg,1,A man bending over a wooden table with clutter on top of it.
579.jpg,1,A lady talking on her cell phone at an arena.
2168.jpg,1,A man riding a skateboard up into the air.
22185.jpg,1,a group of people gathered in a living room.
250.jpg,1,a group of people busy at work studying.
15694.jpg,1,Wake boarder dressed as Lego figure goi off ramp in lake.
23773.jpg,1,someone swing at a ball in a baseball diamond
21856.jpg,1,People walking on a grass trail outdoors and a clock tower in the distance.
11489.jpg,9 1,A young boy holding a baseball bat on a field.
10791.jpg,1,A man skieing up hill with back pack on.
8311.jpg,1 5,A large airplane on the runway ready to take off.
9708.jpg,1,A professional baseball player with bat in hand warming up his swing.
5772.jpg,1 11,Man playing guitar sitting on sidewalk in urban setting.
17689.jpg,1,A baseball player is preparing to hit the ball while a crowd watches on.
2325.jpg,1,A batter holding a bat with a catcher and umpire behind.
21222.jpg,1,Two young men holding Nintendo Wii game controllers.
430.jpg,17,A calico cat laying on a folded blanket on an unmade bed.
29651.jpg,16 15,A flock of birds sitting on top of a lush green field near a lake.
2532.jpg,1,A man wearing glasses and a neck tie.
2457.jpg,1,A person on a snowboard performs a jump while two people watch.
19419.jpg,1 3,"A man, dressed as a pirate, riding a skateboard."
19611.jpg,1 15,"A lady is touching her lip, holding her purse, on the bench."
22293.jpg,1 7,Two trains sitting together on tracks opposite each other.
24789.jpg,1,a walkway between some buildings with  brown roofs
505.jpg,1,Two people play tennis against a dark backdrop.
23114.jpg,5,A VERY BIG PLANE FLYING IN THE SKY WITH A RED WING
8159.jpg,13,Distorted picture from rain on window of stop sign and intersection.
14325.jpg,1,A group of people hold a sword over a cake.
17896.jpg,1,A person that is outside skateboarding in the day.
19008.jpg,1,A little kid carrying a blue and red piece of luggage.
19692.jpg,1,A woman sitting on the beach and a couple guys walking holding surfboards
18794.jpg,16 17,A cat holding a dead bird under its paw
23181.jpg,1,A man that is giving a baby a bottle.
27520.jpg,8 1 3,a person standing near bushes and a road
3834.jpg,1,A man with a beard in a black t-shirt is eating with his hand.
1330.jpg,1,a man in a stall with so many bags
26552.jpg,1,A catcher kneels in front of a baseball player sliding onto the plate.
13171.jpg,1 15,A young man holding a hot dog in his hand.
2541.jpg,1 15,A woman sitting on a bench in front of a tree.
25599.jpg,1,A group of people playing a game with Nintendo Wii controllers.
7133.jpg,1,three hot dogs covered with toppings sitting on a red tray
14863.jpg,16 15,A bird that is sitting on a wooden bench.
25874.jpg,1 5,An antique fighter plane parked on a field next to a forest.
17929.jpg,1,there is a man standing on a back porch
22473.jpg,1 2,A man standing among piles of ripe and unripe bananas.
9586.jpg,1,A man holding a plate of food and a banana.
23701.jpg,1,A man with a yellow surfboard in an ocean
3507.jpg,1 9,People are sitting under umbrellas on the shore of a beach.
7607.jpg,1,a woman lies on the snow with some skis
17641.jpg,1,a man is standing and holding a controller
29856.jpg,1,A man holding a hose standing next to an elephant.
23589.jpg,1,a women with a long black coat walking with her suitcase
28268.jpg,13,"A Stop sign displayed just outside a brick building, with Harper spray painted on the sign"
5845.jpg,7,A train traveling the tracks under a partly cloudy sky.
23483.jpg,1 17,A cat laying on a desk with a book and laptop.
24200.jpg,1 7,A passenger train is stopped at a train station.
14252.jpg,1 2,A person holding out a large sheet in a market area.
4846.jpg,1,Some people are having fun touching a laptop.
4986.jpg,6,A school bus is parked in the parking space.
21891.jpg,1,A group of chefs standing in a kitchen preparing food.
18143.jpg,1,a number of people standing holding umbrellas near a building
20264.jpg,1,Some people are standing on top of a snow mountain.
7064.jpg,1 3 6,two public transit busses on a city street
26823.jpg,1,Some women indoors on a basketball court playing ultimate frisbee.
24301.jpg,1,Frisbee playing teenagers are on a soccer field.
22007.jpg,8 1,A large truck driving down a paved road.
25531.jpg,8 1 3 19,two people riding horses on a city street
20001.jpg,1,One side in a tennis match serves the ball
16897.jpg,15,a old wooden bench that is next to a tree
25459.jpg,18,A dog running in a fenced in area by some cows.
26900.jpg,1 6,A very big pretty city bus by an big structure.
12251.jpg,18,A brown and white dog laying in grass next to a frisbee.
12739.jpg,1,A boy wears a striped shirt as he holds a toothbrush and a blue cup.
29782.jpg,1 6,A model of people and buses outside a building.
19982.jpg,1 15,a lady that is cutting something up in her hand
22404.jpg,1,"two men standing by a display for ""green"" restroom options"
2208.jpg,1 4,A group of bikers wearing neon safety jackets.
18842.jpg,10 13,An intersection with a stop sigh and signal light with a green arrow.
21691.jpg,1,The bright blue kite is ready for a gust of wind.
8490.jpg,1 3 7 8 10,A trolley car riding down the middle of a street.
2266.jpg,1,A group of people riding skis on top of a snow covered field.
5227.jpg,1,TWO ASIAN WOMEN PLAYING THE WII GAME IN THE LIVING ROOM
19084.jpg,1,A man on a skateboard that is on a metal pipe.
26524.jpg,1,A person on skis riding around a marker on a course.
20894.jpg,8 1,Two fire trucks are parked outside of a building.
17894.jpg,8 1,a group of children on skateboards pushing a vehicle with their hands.
17087.jpg,16,The bird is nesting on top of the church building.
10091.jpg,1 3 14,A flock of sheep disrupt traffic on a city street.
9812.jpg,1 2 3 4 6 8 10,Motorcyclists are on the street in a uniform line.
8189.jpg,6,Busses are all lined up in a terminal.
21665.jpg,1,A man skating on a slope next to some trees
6548.jpg,1,A man crossing a street next to a tall clock.
3282.jpg,17,A cat sits on the edge of a toilet bowl.
12196.jpg,1,The action in an organized baseball game played on grass.
23663.jpg,1,A woman wearing a neck tie and glasses.
2276.jpg,1 5,A commercial airplane with propellers and people near the disembarking stairs.
22056.jpg,1,Man wearing air mask sanding down a surfboard form.
18944.jpg,1 2,Two guys in green shirts playing frisbee on a grassy lawn
22832.jpg,1,A couple of kids standing next to each other in front of a door.
13050.jpg,5,A view of a plane wing overlooking a mountain range.
16539.jpg,1,A person flipping themselves in front of a bathroom mirror.
21596.jpg,8 3,A small truck has tagging all over the compartments.
15536.jpg,3 6,a parking lot full of buses next to a field
10625.jpg,1,A young lady is in the kitchen preparing crops of donuts.
25296.jpg,1 19,A horse drawn carriage pulling a cart filled with lots of people.
28681.jpg,1,A little boy holding a colorful light while digging into a toilet.
19358.jpg,1,A group of people posing for a wedding picture.
29668.jpg,3 1 2 11,A bicycle on the side of the street leaned against a street sign
5837.jpg,1,a baseball player getting ready to bat at a game
21524.jpg,18,A cow is looking at a dog in the field.
22723.jpg,5,Four jets flying parallel in the sky with smoking trailing behind.
279.jpg,1 19,A horse standing with others tied to a tree with a sleigh behind them.
7319.jpg,7 15,A yellow and black train traveling past a lush tree filled forest.
25275.jpg,1,A couple of woman on a beach with some surfboards.
5161.jpg,1,Three young girls sitting next to each other eating bananas.
16088.jpg,5,A large white airplane parked in a stationary position.
3690.jpg,1,A boy standing in a living room in front of a TV.
5916.jpg,1 10 3 7,A train is moving down the train tracks.
11960.jpg,8 1 3,A red and white fire truck sitting in a parking lot.
15489.jpg,7,A train on the train tracks in day light.
26112.jpg,8 1 3,The large colorful airplane kite is being flown at the park.
20409.jpg,8 1 3,A woman and child stand on roadside while two men are at back of vehicle.
26176.jpg,1 15,A lady and two girls sit in a park with red bricks on the ground.
21741.jpg,8 9 19 1,Three horse drawn carriages sitting along the side of a cruise ship port road.
15918.jpg,1,A boy and a girl looking at their reflections in a bathroom mirror.
19311.jpg,8 3,A view of a bunch of sheep standing in a pen.
11702.jpg,1,A man smiling and looking down at his phone in formal wear.
11514.jpg,11,A red fire hydrant sitting in the corner of a parking area.
11136.jpg,1 3,A car covered in stuffed animals and lots of toys.
27961.jpg,1,"A room with many couches, tables, and people."
28262.jpg,1,A pair of scissors are being held behind someone's back
16471.jpg,17 3,a black cat laying on a round rug in a bathroom
23536.jpg,1 2 3 6 19,a bunch of people walking across a street
24915.jpg,7,A train rolls along the tracks past a line of trees.
12067.jpg,1,A person's feet standing and balancing on a skateboard.
20766.jpg,1,All ages can have a good time using the Nintendo Wii.
15695.jpg,1,there is a male skate boarder riding down a ramp
11888.jpg,16 3 14,A sign for a dentist office on a sidewalk storefront.
3735.jpg,17,A cat resting comfortably in a cat bed looking at the ground.
23286.jpg,1,A man sitting at a table with a plate of food.
3643.jpg,13,A stop sign sits in an empty parking lot
12585.jpg,1,A woman in a plaid shirt looking at her cell phone.
26894.jpg,1,A girl is flying a kite on the beach near he water.
26842.jpg,1,a person on a skate board riding down the street
23760.jpg,1,A woman throws a frisbee in a grassy yard.
29364.jpg,1,A boy rared back with a tennis racquet on a court.
21525.jpg,17 1,A gray and white cat sleeping on top of a laptop computer.
9925.jpg,1 3 6,Two yellow school buses driving across a dirt covered field.
1837.jpg,1,a skier is passing a red flag marker
9858.jpg,1,A man standing over a cake with candles.
15988.jpg,1,A baseball game in progress with the batter at the end of a swing.
11643.jpg,1,A man sitting outside his shopping looking for customers
8026.jpg,17,A kitten coming indoors through a cat door near a toy on a string
1457.jpg,1 6,passengers are waiting to get on the city bus
1092.jpg,9 1,TWO PEOPLE ON A BOAT IN A RIVER.
4149.jpg,9 1,Small boats float near a lock for a dam.
22853.jpg,1,A person wearing a panda mask hugging luggage.
9304.jpg,17,A black house cat is walking at something
9189.jpg,1,A person on a large snowy plain with a snowboard.
4933.jpg,1,A woman talks on a cellular telephone outside.
21346.jpg,1 3 8 10 14,A man playing a guitar in the middle of a street next to a red car.
4556.jpg,1 19,A man walking a brown horse down a race track.
11488.jpg,1 18,A group of dogs laying on top of a bed.
15571.jpg,16 1,A woman standing over a tray of food.
22320.jpg,1,Two men receiving accolades and gifts at a business meeting
16799.jpg,8 3,A red do not enter sign sitting on the side of a road.
18675.jpg,1 10 19,A couple of brown horses pulling a cart down a street.
21841.jpg,8,Two semi cabs are parked neatly beside one another in a park area.
16151.jpg,1,A crowd of people are walking around a downtown area
21174.jpg,1 7,A green train is going alone the path of the tracks.
26009.jpg,9 1,a boat sitting in the middle of a lake.
17280.jpg,1,A kitchen with all white cabinets and all white appliances.
6482.jpg,1,Baseball game showing batter getting ready to receive pitch.
8467.jpg,1,A man getting ready to fly a large kite.
9100.jpg,1,A group of people pose together holding their skis in their hands.
12539.jpg,1,A woman playing tennis has just hit the ball.
10155.jpg,1,A hand holding an icing covered doughnut in tissue paper.
8780.jpg,1 3 4 6 8 10,A city street with tall buildings in the background.
18454.jpg,3 11 5,an air plane on an air port run way
8666.jpg,1,Female skier riding a lift to her destination
24630.jpg,1,A baby girl brushing her teeth with a pink tooth brush.
11718.jpg,1,Two men in trench coats and ties walk down a sidewalk.
1503.jpg,1,A man in a yellow jacket taking a photograph on a snowboard.
8484.jpg,1 4,A man is sitting on a small motorbike.
23998.jpg,1 15,children learning to play tennis on a clay court
20296.jpg,1 19,A man riding a horse in an arena with a bull.
3949.jpg,1 10 3,A man on the street pondering information on his cell phone
6439.jpg,8 1,A man wearing a red tie and black jacket walking across a rain soaked parking lot.
13619.jpg,1,Aerial trick performed by skateboarder at indoor park.
7909.jpg,1 18,a woman is being pulled by a dog on a skateboard
8092.jpg,1 5,"A large airplane on a airplane runway, with a person standing beside the plane."
10994.jpg,1,A woman sitting in front of a plate of cupcakes with a candle.
11659.jpg,1 2 3 4 15,a man that is riding a bike down the road
13064.jpg,8 1 3 4,A motorcyclist stops on the road to allow a pedestrian to cross.
17992.jpg,1 15,A woman that is standing next to a pen with giraffes.
19309.jpg,2 3,A group of bikes of all colors and sizes is sitting in a lot.
25730.jpg,8 1 15,A very large building with a very tall clock tower on it.
24952.jpg,1,A man on a cell phone sitting at a bar.
26410.jpg,16 9,A marina filled with lots of small boats.
1412.jpg,1,A male smiling and holding a doughnut with pink icing.
6529.jpg,17 1,two cats are eating food out of a plate
1122.jpg,5,A white and blue plane sitting on a run way.
14112.jpg,1,A group of people who are sitting around a table.
5246.jpg,1,Woman sitting on the ground with a child between her legs.
17123.jpg,1 3,A young girl in a green shirt holds out a tennis racket as an over sized tennis ball hovers over it.
19875.jpg,1,a group of people enjoying some parachutes on their back
25209.jpg,1 15,A man flips a skateboard as a trick.
21143.jpg,11,A fire hydrant in the middle of a grassy area.
7468.jpg,1 15,A girl with a hat and a baseball bat.
7822.jpg,16,An adult and baby zebra standing in the grass.
17455.jpg,1 3 4 6 8,A man riding through city traffic on a motorcycle.
27222.jpg,1 10 3 14,A person standing underneath a neon sign next to a city street.
29520.jpg,6,A yellow bus driving down a street. next to a tall building.
9310.jpg,16 10,a flock of birds resting on some power lines
5347.jpg,8,A small pick up truck with a bunch of logs on it's flatbed.
11774.jpg,7,A red train beside a fence and other items.
28811.jpg,1,A woman cuts a piece of cake while holding a little girl.
15964.jpg,1,A group of people kiteboarding in the middle of a body of water.
19315.jpg,1,A man in a sports jersey with some luggage standing in the sun.
25695.jpg,1,A man riding a surfboard on a wave in the ocean.
10863.jpg,1 3,A man talking on a cell phone as he walks down the street.
15087.jpg,1,A man cutting a persons hair in a barber shot.
4484.jpg,1 15,A man walks onto a baseball field while a game is in progress.
18491.jpg,1 15,A man in black jacket eating a piece of pizza.
24579.jpg,1 4,A man riding on the back of a dirt bike.
20328.jpg,1,A little girl pointing at a sheep behind a cage.
21718.jpg,1 15,A baseball player standing on top of a field wearing a uniform.
10877.jpg,1 3,A bag sitting next to luggage on the ground.
1433.jpg,8 3 13,A view of a car and parking lot through a glass from inside a store.
5861.jpg,1,A boy standing in front of a skateboard.
12426.jpg,17,Black and white cat looking out of an inside window.
28072.jpg,1,A woman cutting a chocolate cake with a knife on a table.
24514.jpg,1,A very large cut pan pizza on a table.
22886.jpg,1,A Chinese kite takes flight with other kites in the background.
8693.jpg,8 1 3,A corner of a street with many signs on a pole
26377.jpg,17,A small gray kitten standing on a binder
8141.jpg,1,A man flying through the air while riding skis.
20277.jpg,9 1,A small white boat in the open water.
22518.jpg,1 2,some people are walking with umbrellas down the street
17430.jpg,1,A person is skiing on a trail between the trees.
14580.jpg,1,A baby and a stuffed bear on a bed.
18057.jpg,1,A boy sitting on the snow wearing some skis.
15797.jpg,1 19,Two soldiers riding horses through the beach water
21089.jpg,1 2 13 6,A person riding a bike next to a yellow school bus.
12508.jpg,8 1 3,A tall red brick building with a clock tower on it's left side.
1610.jpg,9 1,The people are walking over the bridge by the water.
22699.jpg,19,A brown and white horse is eating some grass.
22757.jpg,1,A man standing on a  tennis court holding a racquet.
21162.jpg,1,A woman drying her hair with a blow dryer.
18402.jpg,1,A group of men and women holding surf boards.
2767.jpg,1 18,Two surfers running out of the water with their boards.
29630.jpg,1 5,A large airplane s sitting on a runway
24925.jpg,1 19,A group of people riding a horse drawn carriage
216.jpg,1,"a man with a brown suit, sitting at a table with microphone, listening."
15837.jpg,1,A guy standing on a surf board with a big paddle.
6166.jpg,1,A woman holding up a doughnut hole to her right eye.
3901.jpg,1 5,A fighter jet flying through a blue cloudy sky.
10283.jpg,1,there is a woman standing at the table eating food
21838.jpg,1 19,Horses in blankets standing near classical horse-drawn vehicles.
11322.jpg,16,a brown bird perched on a fence in a garden
9888.jpg,1,The contents of a purse all over a table.
6088.jpg,1 15,A empty wooden bench sitting next to a street on a sidewalk.
14459.jpg,17,A orange and white cat looking out of a screen on a window.
2856.jpg,8 1 3,A large transport truck driving down a rural road.
20132.jpg,1,The batter has just hit the ball as the crowd watches
25726.jpg,6,a very long bus moving on the street
25710.jpg,8 1 3,A man playing ball with the boy on the grass.
10690.jpg,1 3,A family that is walking the street holding black umbrellas.
516.jpg,1,"Three tiers of plates with different sandwiches on it, on a table in a restaurant."
11623.jpg,1 15,A woman playing tennis during an intense match.
12147.jpg,11,a grey  fire hydrant on the side of a street
20913.jpg,1 7,A railroad employee standing by the door of a train
13511.jpg,1,a black and white picture of tennis players holding tennis racquets
16697.jpg,1,A big pan of pizza pie being sliced
2157.jpg,1,Two slices of pizza sitting on top of a plate.
9993.jpg,1 19,A person holds up a horse's hoof to examine the shoe.
27311.jpg,1,A newlywed couple shares a knife while cutting wedding cake.
22400.jpg,1 15,"A tennis player, playing in a stadium, in mid air."
3096.jpg,1,a small group of people at the skii slope ride thing and someone fell off
15898.jpg,1 2 6,Commuter bus in large open paved lot in city setting.
3108.jpg,1,A man preparing food while standing in a  kitchen.
18526.jpg,10,Traffic lights on a street that appear blurry.
21764.jpg,1 7,A person walking along a train platform.
6428.jpg,17 1,A cat standing up and pawing a television set.
23874.jpg,8 3 13,A stop sign with graffiti is in front of a tree in a parking lot.
2406.jpg,9 1,A young child standing on a dock by the water.
24127.jpg,16,A land with hills and cows fenced in.
20977.jpg,19,A large brown horse with blonde hair standing in a lush green field.
15576.jpg,17,A cat sleeping on top of a red piece of luggage.
8152.jpg,4,A blue motor cycle parked in front of a house next to trash cans.
17631.jpg,1 9,a man is flying through the air on a skateboard
3398.jpg,1 3 15,A person standing on a grass covered field in an orange shirt.
28233.jpg,1,A piece of artwork showing a coloring surf shop.
17093.jpg,1,A young man holding a a kid and a guitar hero controller.
29036.jpg,1,Two people skiing down a long snowy slope with smiles on their faces
26371.jpg,1,The vintage lady with the umbrella is stunning.
27857.jpg,1,A Santa clause smoking a cigarette in front of a restaurant.
8782.jpg,1,A group of people standing next to each other on snow.
27796.jpg,8 6,A bus is being towed by a blue tow truck.
20579.jpg,1,A table topped with two plates of food and two cans of cola.
24159.jpg,1 19,Two jockey's playing polo in a large field.
17409.jpg,1,SOMEONE CUTTING A PIECE OF GRASS WITH A LITTLE PAIR OF SCISSORS.
2518.jpg,1 2 3 14,a vintage photo of some people sitting on a bus
14054.jpg,1 3 6 8 19,A large red double decker bus parked in a parking lot.
12812.jpg,7,A train is pulling into an empty platform.
22157.jpg,1,A woman holding a rainbow umbrella in her hand
5101.jpg,1,A young woman holding a white frisbee while wearing shorts.
9842.jpg,1,A person holding a green pair of scissors.
17508.jpg,1,a man laughing next to a young girl flying a kite in a field
13549.jpg,1,A man riding a wave on top of a surfboard.
12038.jpg,1,A couple of people on a field of snow with skis.
15946.jpg,1,a tennis player in a black shirt playing tennis
21772.jpg,1,A person holding a Nintendo Wii game controller.
24593.jpg,1,A group of men standing in front of a store.
9892.jpg,9,A small boat sitting on land near a group of palm trees.
6329.jpg,1 11,a man on a skate board goes down a curved road
27095.jpg,1,A man holding a tennis racket on court.
15601.jpg,1 2,A woman riding a bike down a bike trail.
17623.jpg,1 18,a dog that is rolling down a skateboard
14936.jpg,1 4,The easily entertained rabble gather on the desert sands and fly kites.
12535.jpg,1,A row of people sit on a orange bench in front of a table of food and pans.
25993.jpg,16 9,A duck in water with a blue and white boat in background.
17552.jpg,1,Two skiers in red and white racing down a snowy mountain.
8915.jpg,1 3,Two young men leaping into the air to catch a white frisbee.
13048.jpg,7,A trolley train is going down the tracks.
23482.jpg,1,A small boy with his arm out stretched stands next to a toilet.
26151.jpg,1,A young boy holding a ball on a grassy green field.
10804.jpg,1,"Bananas, water melon and other fruits displayed at a store"
10399.jpg,1,a baseball player swings and misses the baseball
14585.jpg,1 2 3 13,Two people cycling on a road as others walk by
17899.jpg,16 17,"A cat looks through a window at birds with cartoon bubbles written above them, as if they were speaking about the cat."
10883.jpg,1,Women carrying children on their back in blankets.
